type,gender,speaker,vowel,repetition,F0,F1,F2,F3
m,m,1,FLEECE,1,160,240,2280,2850
m,m,1,FLEECE,2,186,280,2400,2790
m,m,1,KIT,1,203,390,2030,2640
m,m,1,KIT,2,192,310,1980,2550
m,m,1,DRESS,1,161,490,1870,2420
m,m,1,DRESS,2,155,570,1700,2600
m,m,1,TRAP,1,140,560,1820,2660
m,m,1,TRAP,2,180,630,1700,2550
m,m,1,STRUT,1,144,590,1250,2620
m,m,1,STRUT,2,148,620,1300,2530
m,m,1,PALM,1,148,740,1070,2490
m,m,1,PALM,2,170,800,1060,2640
m,m,1,THOUGHT,1,161,600,970,2280
m,m,1,THOUGHT,2,158,660,980,2220
m,m,1,FOOT,1,163,440,1120,2210
m,m,1,FOOT,2,190,400,1070,2280
m,m,1,GOOSE,1,160,240,1040,2150
m,m,1,GOOSE,2,157,270,930,2280
m,m,1,NURSE,1,177,370,1520,1670
m,m,1,NURSE,2,164,460,1330,1590
m,m,2,FLEECE,1,147,220,2220,2910
m,m,2,FLEECE,2,148,210,2360,3250
m,m,2,KIT,1,141,410,1890,2680
m,m,2,KIT,2,139,420,1850,2500
m,m,2,DRESS,1,136,500,1760,2590
m,m,2,DRESS,2,135,510,1710,2380
m,m,2,TRAP,1,128,690,1610,2560
m,m,2,TRAP,2,131,700,1690,2580
m,m,2,STRUT,1,140,650,1080,2420
m,m,2,STRUT,2,125,625,1060,2490
m,m,2,PALM,1,140,650,1040,2450
m,m,2,PALM,2,136,670,1100,2430
m,m,2,THOUGHT,1,149,580,580,2470
m,m,2,THOUGHT,2,140,560,560,2410
m,m,2,FOOT,1,145,450,940,1910
m,m,2,FOOT,2,141,410,830,2240
m,m,2,GOOSE,1,140,280,650,3300
m,m,2,GOOSE,2,137,260,660,3300
m,m,2,NURSE,1,145,510,1210,1570
m,m,2,NURSE,2,145,510,1130,1510
m,m,3,FLEECE,1,105,250,2180,2680
m,m,3,FLEECE,2,111,244,2300,2780
m,m,3,KIT,1,100,400,1930,2610
m,m,3,KIT,2,104,400,1990,2700
m,m,3,DRESS,1,100,550,1810,2500
m,m,3,DRESS,2,95,540,1810,2480
m,m,3,TRAP,1,93,630,1710,2400
m,m,3,TRAP,2,94,658,1755,2305
m,m,3,STRUT,1,100,600,1200,2320
m,m,3,STRUT,2,105,612,1160,2350
m,m,3,PALM,1,91,640,1080,2140
m,m,3,PALM,2,94,720,1090,2230
m,m,3,THOUGHT,1,92,550,870,2300
m,m,3,THOUGHT,2,120,540,840,2280
m,m,3,FOOT,1,114,460,1150,2290
m,m,3,FOOT,2,114,456,1030,2300
m,m,3,GOOSE,1,112,340,950,2240
m,m,3,GOOSE,2,112,326,900,2190
m,m,3,NURSE,1,100,500,1370,1780
m,m,3,NURSE,2,106,530,1330,1800
m,m,4,FLEECE,1,150,300,2240,3400
m,m,4,FLEECE,2,156,280,2450,3200
m,m,4,KIT,1,156,450,1960,2400
m,m,4,KIT,2,146,440,2050,2360
m,m,4,DRESS,1,130,570,1780,2410
m,m,4,DRESS,2,150,555,1890,2440
m,m,4,TRAP,1,125,750,1610,2340
m,m,4,TRAP,2,136,770,1580,2350
m,m,4,STRUT,1,132,660,1200,2330
m,m,4,STRUT,2,150,675,1140,2380
m,m,4,PALM,1,125,750,1100,2550
m,m,4,PALM,2,138,800,1120,2500
m,m,4,THOUGHT,1,143,540,850,2320
m,m,4,THOUGHT,2,150,555,890,2370
m,m,4,FOOT,1,136,460,960,2210
m,m,4,FOOT,2,156,460,1000,2350
m,m,4,GOOSE,1,140,380,950,2050
m,m,4,GOOSE,2,148,385,850,2330
m,m,4,NURSE,1,150,590,1400,1840
m,m,4,NURSE,2,145,555,1430,1730
m,m,5,FLEECE,1,140,310,2310,2820
m,m,5,FLEECE,2,131,260,2250,2850
m,m,5,KIT,1,137,440,2060,2640
m,m,5,KIT,2,134,430,1880,2450
m,m,5,DRESS,1,140,580,1910,2500
m,m,5,DRESS,2,137,550,1770,2400
m,m,5,TRAP,1,143,830,1720,2180
m,m,5,TRAP,2,135,750,1690,2320
m,m,5,STRUT,1,136,630,1300,1950
m,m,5,STRUT,2,130,650,1170,2000
m,m,5,PALM,1,131,760,1220,2140
m,m,5,PALM,2,126,720,1260,2020
m,m,5,THOUGHT,1,136,540,970,1980
m,m,5,THOUGHT,2,124,550,880,1950
m,m,5,FOOT,1,133,470,1040,1990
m,m,5,FOOT,2,132,490,990,1920
m,m,5,GOOSE,1,141,380,950,2140
m,m,5,GOOSE,2,133,330,800,2130
m,m,5,NURSE,1,143,560,1510,1800
m,m,5,NURSE,2,136,510,1460,1700
m,m,6,FLEECE,1,125,312,2350,2800
m,m,6,FLEECE,2,119,330,2430,2870
m,m,6,KIT,1,133,420,2000,2660
m,m,6,KIT,2,125,313,2000,2750
m,m,6,DRESS,1,120,600,1860,2500
m,m,6,DRESS,2,114,570,1830,2570
m,m,6,TRAP,1,119,676,1670,2540
m,m,6,TRAP,2,125,725,1687,2500
m,m,6,STRUT,1,118,680,1150,2560
m,m,6,STRUT,2,125,726,1270,2560
m,m,6,PALM,1,125,740,1100,2680
m,m,6,PALM,2,113,670,960,2650
m,m,6,THOUGHT,1,120,660,1030,2690
m,m,6,THOUGHT,2,125,720,960,2700
m,m,6,FOOT,1,120,456,1080,2520
m,m,6,FOOT,2,120,450,1140,2600
m,m,6,GOOSE,1,125,313,838,2340
m,m,6,GOOSE,2,125,288,938,2450
m,m,6,NURSE,1,120,503,1305,1775
m,m,6,NURSE,2,120,505,1320,1750
m,m,7,FLEECE,1,186,320,2320,3120
m,m,7,FLEECE,2,172,310,2280,3020
m,m,7,KIT,1,167,470,2000,2660
m,m,7,KIT,2,170,410,2040,2715
m,m,7,DRESS,1,167,630,1900,2860
m,m,7,DRESS,2,146,614,1840,2770
m,m,7,TRAP,1,143,740,1800,2450
m,m,7,TRAP,2,162,775,1810,2200
m,m,7,STRUT,1,167,620,1240,2410
m,m,7,STRUT,2,160,640,1250,2400
m,m,7,PALM,1,162,650,970,2580
m,m,7,PALM,2,163,650,980,2350
m,m,7,THOUGHT,1,145,430,720,2450
m,m,7,THOUGHT,2,171,510,800,2500
m,m,7,FOOT,1,170,460,1120,2150
m,m,7,FOOT,2,170,493,1120,2300
m,m,7,GOOSE,1,175,380,1040,2260
m,m,7,GOOSE,2,200,400,1000,2350
m,m,7,NURSE,1,167,570,1300,1750
m,m,7,NURSE,2,157,565,1370,1710
m,m,8,FLEECE,1,105,230,2480,3200
m,m,8,FLEECE,2,109,218,2380,3100
m,m,8,KIT,1,110,320,2200,2680
m,m,8,KIT,2,103,206,2130,2570
m,m,8,DRESS,1,107,430,2100,2630
m,m,8,DRESS,2,105,515,1760,2470
m,m,8,TRAP,1,107,514,2060,2600
m,m,8,TRAP,2,106,552,1820,2500
m,m,8,STRUT,1,108,640,1300,2300
m,m,8,STRUT,2,104,624,1350,2410
m,m,8,PALM,1,111,714,1170,2420
m,m,8,PALM,2,97,650,1150,2350
m,m,8,THOUGHT,1,107,590,965,2500
m,m,8,THOUGHT,2,109,578,970,2460
m,m,8,FOOT,1,111,467,1110,2400
m,m,8,FOOT,2,105,475,1220,2310
m,m,8,GOOSE,1,107,270,910,2200
m,m,8,GOOSE,2,108,260,975,2320
m,m,8,NURSE,1,107,460,1400,1790
m,m,8,NURSE,2,103,425,1410,1760
m,m,9,FLEECE,1,175,316,2200,2800
m,m,9,FLEECE,2,175,280,2275,2775
m,m,9,KIT,1,167,450,1820,2475
m,m,9,KIT,2,167,434,1850,2425
m,m,9,DRESS,1,157,582,1725,2375
m,m,9,DRESS,2,158,586,1800,2425
m,m,9,TRAP,1,150,600,1750,2375
m,m,9,TRAP,2,145,582,1775,2375
m,m,9,STRUT,1,145,626,1125,2200
m,m,9,STRUT,2,160,641,1120,2225
m,m,9,PALM,1,144,708,1054,2420
m,m,9,PALM,2,150,705,1050,2375
m,m,9,THOUGHT,1,146,614,848,2200
m,m,9,THOUGHT,2,143,600,860,2175
m,m,9,FOOT,1,167,500,1000,2325
m,m,9,FOOT,2,167,500,1000,2325
m,m,9,GOOSE,1,167,334,1150,2200
m,m,9,GOOSE,2,183,312,1020,2300
m,m,9,NURSE,1,157,518,1305,1570
m,m,9,NURSE,2,157,504,1210,1510
m,m,10,FLEECE,1,129,260,2260,2820
m,m,10,FLEECE,2,125,250,2200,2825
m,m,10,KIT,1,146,400,2040,2500
m,m,10,KIT,2,144,389,2000,2425
m,m,10,DRESS,1,126,500,1870,2500
m,m,10,DRESS,2,125,500,1775,2450
m,m,10,TRAP,1,110,660,1650,2500
m,m,10,TRAP,2,120,624,1700,2475
m,m,10,STRUT,1,122,650,1220,2550
m,m,10,STRUT,2,120,672,1260,2500
m,m,10,PALM,1,114,750,1080,2680
m,m,10,PALM,2,114,777,1026,2625
m,m,10,THOUGHT,1,115,580,800,2650
m,m,10,THOUGHT,2,117,585,819,2625
m,m,10,FOOT,1,140,480,950,2500
m,m,10,FOOT,2,127,461,993,2350
m,m,10,GOOSE,1,140,280,950,2300
m,m,10,GOOSE,2,133,266,920,2300
m,m,10,NURSE,1,128,500,1340,1700
m,m,10,NURSE,2,133,532,1275,1600
m,m,11,FLEECE,1,146,248,2225,3100
m,m,11,FLEECE,2,140,238,2175,3075
m,m,11,KIT,1,150,405,1925,2550
m,m,11,KIT,2,138,416,1940,2600
m,m,11,DRESS,1,147,588,1790,2500
m,m,11,DRESS,2,133,586,1725,2650
m,m,11,TRAP,1,145,725,1700,2425
m,m,11,TRAP,2,127,710,1650,2220
m,m,11,STRUT,1,136,586,1078,2300
m,m,11,STRUT,2,136,627,1038,2360
m,m,11,PALM,1,145,725,1046,2325
m,m,11,PALM,2,131,746,1018,2300
m,m,11,THOUGHT,1,140,560,840,2500
m,m,11,THOUGHT,2,140,560,924,2350
m,m,11,FOOT,1,150,495,1080,2275
m,m,11,FOOT,2,143,430,1030,2275
m,m,11,GOOSE,1,162,290,760,2300
m,m,11,GOOSE,2,157,315,850,2025
m,m,11,NURSE,1,150,511,1561,1876
m,m,11,NURSE,2,138,530,1450,1887
m,m,12,FLEECE,1,110,220,2410,3000
m,m,12,FLEECE,2,125,240,2440,3280
m,m,12,KIT,1,120,450,1880,2450
m,m,12,KIT,2,118,380,1930,2420
m,m,12,DRESS,1,115,560,1650,2300
m,m,12,DRESS,2,123,560,1720,2300
m,m,12,TRAP,1,110,680,1720,2330
m,m,12,TRAP,2,133,630,1680,2280
m,m,12,STRUT,1,110,560,1430,2250
m,m,12,STRUT,2,120,560,1390,2240
m,m,12,PALM,1,108,800,1330,2260
m,m,12,PALM,2,110,740,1240,2280
m,m,12,THOUGHT,1,120,600,920,2080
m,m,12,THOUGHT,2,133,580,910,2000
m,m,12,FOOT,1,130,400,1200,2210
m,m,12,FOOT,2,110,420,1230,2230
m,m,12,GOOSE,1,122,300,900,2130
m,m,12,GOOSE,2,123,260,1010,2240
m,m,12,NURSE,1,125,400,1450,1650
m,m,12,NURSE,2,128,360,1410,1640
m,m,13,FLEECE,1,142,290,2290,2600
m,m,13,FLEECE,2,135,260,2290,2700
m,m,13,KIT,1,132,390,1950,2550
m,m,13,KIT,2,135,400,1900,2450
m,m,13,DRESS,1,124,490,1740,2500
m,m,13,DRESS,2,125,500,1780,2430
m,m,13,TRAP,1,125,660,1630,2500
m,m,13,TRAP,2,132,670,1630,2380
m,m,13,STRUT,1,140,600,1220,2530
m,m,13,STRUT,2,125,600,1210,2430
m,m,13,PALM,1,125,680,1120,2630
m,m,13,PALM,2,128,670,1100,2700
m,m,13,THOUGHT,1,127,510,720,2450
m,m,13,THOUGHT,2,120,480,710,2540
m,m,13,FOOT,1,133,380,910,2350
m,m,13,FOOT,2,140,440,1030,2400
m,m,13,GOOSE,1,127,350,720,2750
m,m,13,GOOSE,2,140,380,740,2880
m,m,13,NURSE,1,128,430,1370,1610
m,m,13,NURSE,2,135,440,1360,1600
m,m,14,FLEECE,1,114,228,2350,2860
m,m,14,FLEECE,2,118,220,2350,2920
m,m,14,KIT,1,110,407,2070,2500
m,m,14,KIT,2,112,420,1900,2450
m,m,14,DRESS,1,106,445,2020,2420
m,m,14,DRESS,2,115,470,2020,2500
m,m,14,TRAP,1,103,721,1680,2400
m,m,14,TRAP,2,109,750,1710,2440
m,m,14,STRUT,1,104,552,1122,2500
m,m,14,STRUT,2,115,580,1150,2600
m,m,14,PALM,1,98,686,1078,2570
m,m,14,PALM,2,103,700,1050,2680
m,m,14,THOUGHT,1,102,560,665,2620
m,m,14,THOUGHT,2,106,550,650,2700
m,m,14,FOOT,1,112,448,980,2370
m,m,14,FOOT,2,104,410,940,2370
m,m,14,GOOSE,1,116,232,696,2200
m,m,14,GOOSE,2,117,222,665,2080
m,m,14,NURSE,1,120,432,1300,1400
m,m,14,NURSE,2,111,420,1300,1570
m,m,15,FLEECE,1,121,230,2100,2850
m,m,15,FLEECE,2,118,240,2000,2980
m,m,15,KIT,1,130,365,1900,2340
m,m,15,KIT,2,119,300,2040,2560
m,m,15,DRESS,1,112,440,1980,2310
m,m,15,DRESS,2,120,410,2050,2500
m,m,15,TRAP,1,133,620,1710,2110
m,m,15,TRAP,2,124,660,1800,2150
m,m,15,STRUT,1,120,660,1000,2380
m,m,15,STRUT,2,110,660,960,2450
m,m,15,PALM,1,122,600,830,2250
m,m,15,PALM,2,119,620,820,2400
m,m,15,THOUGHT,1,117,500,620,2250
m,m,15,THOUGHT,2,106,550,700,2550
m,m,15,FOOT,1,140,390,730,2180
m,m,15,FOOT,2,130,360,740,2200
m,m,15,GOOSE,1,131,260,720,2100
m,m,15,GOOSE,2,132,260,740,2040
m,m,15,NURSE,1,125,450,1230,1600
m,m,15,NURSE,2,127,460,1300,1650
m,m,16,FLEECE,1,150,300,2355,3250
m,m,16,FLEECE,2,150,300,2460,3280
m,m,16,KIT,1,160,385,2242,2805
m,m,16,KIT,2,150,407,2250,2780
m,m,16,DRESS,1,140,504,2090,2720
m,m,16,DRESS,2,146,543,1980,2640
m,m,16,TRAP,1,133,680,1958,2542
m,m,16,TRAP,2,141,708,1840,2535
m,m,16,STRUT,1,150,675,1320,2550
m,m,16,STRUT,2,150,704,1393,2550
m,m,16,PALM,1,137,825,1168,2750
m,m,16,PALM,2,135,840,1210,2680
m,m,16,THOUGHT,1,143,671,1000,2670
m,m,16,THOUGHT,2,147,690,968,2660
m,m,16,FOOT,1,143,443,1273,2430
m,m,16,FOOT,2,153,459,1286,2410
m,m,16,GOOSE,1,146,395,1300,2160
m,m,16,GOOSE,2,153,400,1320,2150
m,m,16,NURSE,1,140,532,1500,1890
m,m,16,NURSE,2,146,538,1460,1818
m,m,17,FLEECE,1,120,264,2290,2700
m,m,17,FLEECE,2,128,256,2305,2635
m,m,17,KIT,1,112,380,1880,2440
m,m,17,KIT,2,115,346,1930,2390
m,m,17,DRESS,1,100,510,1780,2300
m,m,17,DRESS,2,108,520,1730,2275
m,m,17,TRAP,1,100,630,1770,2350
m,m,17,TRAP,2,105,630,1642,2170
m,m,17,STRUT,1,103,601,1273,2130
m,m,17,STRUT,2,105,590,1283,2150
m,m,17,PALM,1,100,750,1150,2440
m,m,17,PALM,2,95,703,1092,2320
m,m,17,THOUGHT,1,97,565,780,2350
m,m,17,THOUGHT,2,106,584,849,2460
m,m,17,FOOT,1,105,420,1100,2140
m,m,17,FOOT,2,111,422,1200,2175
m,m,17,GOOSE,1,117,315,1080,2260
m,m,17,GOOSE,2,125,326,1125,2210
m,m,17,NURSE,1,111,444,1300,1625
m,m,17,NURSE,2,109,469,1288,1600
m,m,18,FLEECE,1,124,210,2100,3090
m,m,18,FLEECE,2,130,220,2080,3180
m,m,18,KIT,1,128,280,2000,2710
m,m,18,KIT,2,130,310,1950,2670
m,m,18,DRESS,1,121,470,1910,2580
m,m,18,DRESS,2,129,490,1930,2650
m,m,18,TRAP,1,116,640,1620,2200
m,m,18,TRAP,2,118,650,1580,2360
m,m,18,STRUT,1,121,610,1100,2230
m,m,18,STRUT,2,126,620,1120,2330
m,m,18,PALM,1,118,700,1100,2240
m,m,18,PALM,2,120,670,1100,2220
m,m,18,THOUGHT,1,122,460,720,2180
m,m,18,THOUGHT,2,118,470,690,2200
m,m,18,FOOT,1,129,320,770,1860
m,m,18,FOOT,2,130,310,790,1920
m,m,18,GOOSE,1,140,210,670,1900
m,m,18,GOOSE,2,148,240,730,1850
m,m,18,NURSE,1,128,390,1320,1550
m,m,18,NURSE,2,124,420,1240,1510
m,m,19,FLEECE,1,129,190,2650,3280
m,m,19,FLEECE,2,135,190,2700,3170
m,m,19,KIT,1,132,370,1750,2700
m,m,19,KIT,2,130,370,1800,2750
m,m,19,DRESS,1,122,370,1680,2560
m,m,19,DRESS,2,125,375,1700,2500
m,m,19,TRAP,1,121,550,1570,2600
m,m,19,TRAP,2,120,530,1610,2650
m,m,19,STRUT,1,118,570,1050,2500
m,m,19,STRUT,2,125,590,1100,2480
m,m,19,PALM,1,112,640,970,2870
m,m,19,PALM,2,122,670,980,2900
m,m,19,THOUGHT,1,113,560,860,2900
m,m,19,THOUGHT,2,121,570,820,2820
m,m,19,FOOT,1,125,350,1000,2500
m,m,19,FOOT,2,130,380,920,2370
m,m,19,GOOSE,1,130,250,1000,2100
m,m,19,GOOSE,2,140,210,960,1940
m,m,19,NURSE,1,130,360,1300,1920
m,m,19,NURSE,2,133,370,1300,1760
m,m,20,FLEECE,1,127,250,2180,2660
m,m,20,FLEECE,2,131,260,2210,2780
m,m,20,KIT,1,121,400,1900,2440
m,m,20,KIT,2,122,350,1980,2480
m,m,20,DRESS,1,116,560,1670,2310
m,m,20,DRESS,2,124,530,1700,2380
m,m,20,TRAP,1,120,680,1470,2280
m,m,20,TRAP,2,119,620,1580,2320
m,m,20,STRUT,1,120,620,1100,2390
m,m,20,STRUT,2,125,640,1110,2370
m,m,20,PALM,1,115,630,980,2330
m,m,20,PALM,2,121,670,940,2380
m,m,20,THOUGHT,1,112,560,790,2480
m,m,20,THOUGHT,2,120,610,840,2420
m,m,20,FOOT,1,121,360,860,2200
m,m,20,FOOT,2,120,400,840,2200
m,m,20,GOOSE,1,140,280,670,2140
m,m,20,GOOSE,2,126,250,720,2190
m,m,20,NURSE,1,120,480,1410,1760
m,m,20,NURSE,2,121,470,1330,1700
m,m,21,FLEECE,1,155,280,2400,2910
m,m,21,FLEECE,2,150,300,2320,2960
m,m,21,KIT,1,142,410,2060,2680
m,m,21,KIT,2,150,450,2050,2670
m,m,21,DRESS,1,135,540,1900,2530
m,m,21,DRESS,2,135,540,1920,2520
m,m,21,TRAP,1,138,620,1800,2440
m,m,21,TRAP,2,140,690,1820,2480
m,m,21,STRUT,1,150,630,1200,2600
m,m,21,STRUT,2,140,680,1290,2600
m,m,21,PALM,1,145,740,1110,2500
m,m,21,PALM,2,143,700,1060,2720
m,m,21,THOUGHT,1,146,600,970,2570
m,m,21,THOUGHT,2,138,650,880,2660
m,m,21,FOOT,1,142,430,1130,2440
m,m,21,FOOT,2,143,430,1150,2420
m,m,21,GOOSE,1,142,280,990,2330
m,m,21,GOOSE,2,145,290,1000,2300
m,m,21,NURSE,1,150,420,1350,1600
m,m,21,NURSE,2,150,450,1350,1600
m,m,22,FLEECE,1,135,300,2300,2800
m,m,22,FLEECE,2,135,350,2240,2760
m,m,22,KIT,1,136,410,2200,2680
m,m,22,KIT,2,138,440,2080,2520
m,m,22,DRESS,1,133,580,1870,2320
m,m,22,DRESS,2,127,520,1900,2400
m,m,22,TRAP,1,130,760,1920,2480
m,m,22,TRAP,2,132,670,1850,2560
m,m,22,STRUT,1,139,810,1110,2100
m,m,22,STRUT,2,131,770,1150,2100
m,m,22,PALM,1,141,700,1040,2120
m,m,22,PALM,2,125,750,1160,2080
m,m,22,THOUGHT,1,133,670,920,2240
m,m,22,THOUGHT,2,142,570,850,2250
m,m,22,FOOT,1,140,550,970,2200
m,m,22,FOOT,2,141,490,870,2240
m,m,22,GOOSE,1,150,300,600,2300
m,m,22,GOOSE,2,148,230,570,2100
m,m,22,NURSE,1,140,560,1520,2100
m,m,22,NURSE,2,140,540,1570,2050
m,m,23,FLEECE,1,125,240,2100,2900
m,m,23,FLEECE,2,119,240,2150,2860
m,m,23,KIT,1,130,380,1870,2450
m,m,23,KIT,2,120,430,1710,2350
m,m,23,DRESS,1,119,580,1770,2500
m,m,23,DRESS,2,117,570,1750,2400
m,m,23,TRAP,1,115,760,1580,2440
m,m,23,TRAP,2,110,715,1500,2300
m,m,23,STRUT,1,124,620,880,2500
m,m,23,STRUT,2,124,650,1000,2520
m,m,23,PALM,1,119,710,950,2520
m,m,23,PALM,2,120,690,960,2520
m,m,23,THOUGHT,1,125,460,610,2500
m,m,23,THOUGHT,2,120,470,710,2500
m,m,23,FOOT,1,125,390,900,2100
m,m,23,FOOT,2,125,460,920,2140
m,m,23,GOOSE,1,125,250,690,2080
m,m,23,GOOSE,2,130,270,650,2050
m,m,23,NURSE,1,122,540,1280,1720
m,m,23,NURSE,2,118,510,1280,1650
m,m,24,FLEECE,1,148,280,2450,2700
m,m,24,FLEECE,2,160,288,2500,2880
m,m,24,KIT,1,160,400,2080,2530
m,m,24,KIT,2,153,384,2110,2500
m,m,24,DRESS,1,138,590,1900,2200
m,m,24,DRESS,2,153,583,1840,2250
m,m,24,TRAP,1,145,680,1850,2400
m,m,24,TRAP,2,140,685,1780,2160
m,m,24,STRUT,1,143,660,1370,2110
m,m,24,STRUT,2,145,680,1300,2100
m,m,24,PALM,1,140,760,1260,2120
m,m,24,PALM,2,135,770,1140,2020
m,m,24,THOUGHT,1,145,500,800,1850
m,m,24,THOUGHT,2,132,600,1000,2000
m,m,24,FOOT,1,157,380,1060,1950
m,m,24,FOOT,2,150,470,1220,2150
m,m,24,GOOSE,1,162,324,800,2220
m,m,24,GOOSE,2,139,290,800,2150
m,m,24,NURSE,1,150,560,1350,1780
m,m,24,NURSE,2,150,600,1470,1820
m,m,25,FLEECE,1,110,250,2190,3000
m,m,25,FLEECE,2,106,254,2085,2890
m,m,25,KIT,1,111,330,1967,2670
m,m,25,KIT,2,108,430,1940,2590
m,m,25,DRESS,1,116,464,2100,2700
m,m,25,DRESS,2,105,504,1995,2780
m,m,25,TRAP,1,94,595,1900,2700
m,m,25,TRAP,2,100,670,1860,2500
m,m,25,STRUT,1,96,620,1200,2420
m,m,25,STRUT,2,105,630,1127,2420
m,m,25,PALM,1,100,750,1160,2360
m,m,25,PALM,2,96,740,1155,2330
m,m,25,THOUGHT,1,101,460,740,2300
m,m,25,THOUGHT,2,105,494,789,2420
m,m,25,FOOT,1,113,400,1020,2200
m,m,25,FOOT,2,128,450,1028,2160
m,m,25,GOOSE,1,140,392,1000,2120
m,m,25,GOOSE,2,116,350,898,2140
m,m,25,NURSE,1,117,547,1340,1688
m,m,25,NURSE,2,128,512,1280,1570
m,m,26,FLEECE,1,123,246,2185,2730
m,m,26,FLEECE,2,133,267,2280,2800
m,m,26,KIT,1,140,420,2300,2800
m,m,26,KIT,2,120,384,2110,2620
m,m,26,DRESS,1,120,480,1920,2540
m,m,26,DRESS,2,112,551,1788,2450
m,m,26,TRAP,1,114,628,1837,2570
m,m,26,TRAP,2,111,622,1890,2560
m,m,26,STRUT,1,114,628,1254,2470
m,m,26,STRUT,2,114,617,1255,2480
m,m,26,PALM,1,117,690,1072,2660
