vowelChoice,DRESS,FLEECE,FOOT,GOOSE,KIT,NURSE,PALM,STRUT,THOUGHT,TRAP
vowel,,,,,,,,,,
DRESS,0.658,0.013,0.004,0.001,0.237,0.011,0,0.003,0,0.072
FLEECE,0.006,0.962,0,0,0.031,0,0,0,0,0
FOOT,0.001,0,0.62,0.284,0.002,0.009,0.001,0.052,0.031,0
GOOSE,0,0.002,0.09,0.891,0.002,0.002,0,0.007,0.007,0
KIT,0.067,0.251,0.006,0,0.67,0.001,0,0.001,0,0.003
NURSE,0.04,0.003,0.03,0.007,0.041,0.866,0,0.009,0,0.003
PALM,0.002,0,0.006,0.001,0,0,0.55,0.136,0.305,0.001
STRUT,0.009,0,0.027,0.001,0.001,0.012,0.128,0.747,0.068,0.007
THOUGHT,0,0,0.13,0.059,0,0,0.059,0.08,0.672,0
TRAP,0.28,0.001,0.003,0,0.006,0.019,0.04,0.02,0,0.632